4295587541 0 0 0
4295587558 0 0 0
4295587574 0 0 0
4295587591 0 0 0
4295587607 0 0 0
4295587625 0 0 0
4295587642 0 0 0
4295587658 0 0 0
4295587675 0 0 0
4295587692 0 0 0
4295587710 0 0 0
4295587726 0 0 0
4295587743 0 0 0
4295587761 0 0 0
4295587777 186 0 45904907
4295587793 129 0 48073600
4295587809 161 0 49167760
4295587825 240 0 50123504
4295587841 258 0 50326800
4295587857 233 0 50036880
4295587873 264 0 51182224
4295587889 243 0 44844902
4295587906 0 0 0
4295587922 0 0 0
4295587939 0 0 0
4295587956 0 0 0
4295587972 0 0 0
4295587988 0 0 0
4295588004 0 0 0
4295588021 0 0 0
4295588039 0 0 0
4295588056 0 0 0
4295588074 0 0 0
4295588091 0 0 0
4295588107 0 0 0
4295588123 0 0 0
4295588139 0 0 0
4295588156 0 0 0
4295588172 0 0 0
4295588189 0 0 3333333
4295588205 97 0 47148176
4295588221 213 0 50262416
4295588237 235 0 50546144
4295588253 258 0 51229552
4295588269 239 0 51005904
4295588285 263 0 51189328
4295588302 133 0 31629170
4295588319 0 0 0
4295588336 0 0 0
4295588352 0 0 0
4295588370 0 0 0
4295588387 0 0 0
4295588404 0 0 0
4295588420 0 0 0
4295588436 0 0 0
4295588452 0 0 0
4295588469 0 0 0
4295588485 0 0 0
4295588501 0 0 0
4295588518 0 0 0
4295588535 0 0 0
4295588552 0 0 0
4295588570 0 0 0
4295588586 0 0 0
4295588602 10 0 17001838
4295588618 141 0 50356864
4295588634 226 0 50648528
4295588650 210 0 51004848
4295588666 214 0 51011264
4295588682 209 0 51102256
4295588699 141 0 25690344
4295588715 0 0 0
4295588731 0 0 0
4295588748 0 0 0
4295588765 0 0 0
4295588781 0 0 0
4295588797 0 0 0
4295588814 0 0 0
4295588830 0 0 0
4295588846 0 0 0
4295588862 0 0 0
4295588880 0 0 0
4295588897 0 0 0
4295588914 0 0 0
4295588931 0 0 0
4295588948 0 0 0
4295588965 0 0 0
4295588982 0 0 0
4295588998 0 0 20137427
4295589014 0 0 50377424
4295589030 0 0 50458464
4295589046 0 0 50640992
4295589062 0 0 50600304
4295589078 0 0 51057184
4295589094 0 0 50518112
4295589111 0 0 54079909
4295589127 0 0 50164832
4295589143 0 0 50594144
4295589159 0 0 50854960
4295589175 0 0 50526912
4295589191 0 0 50123936
4295589207 0 0 50750672
4295589223 0 0 50659984
4295589239 0 0 50649424
4295589255 0 0 50180720
4295589271 0 0 50802560
4295589287 0 0 50917888
4295589303 0 0 50615872
4295589319 0 0 50112128
4295589335 0 0 50660128
4295589351 0 0 50633616
4295589367 0 0 50798960
4295589383 0 0 47420507
4295589399 0 0 50889072
4295589415 0 0 50535040
4295589431 0 0 50651376
4295589447 0 0 51044656
4295589463 0 0 50895600
4295589479 0 0 50910816
4295589495 0 0 50618848
4295589511 0 0 49478880
4295589527 0 0 50613424
4295589543 0 0 50520144
4295589559 0 0 50706464
4295589575 0 0 50730272
4295589591 0 0 50644528
4295589608 0 0 53867957
4295589626 0 0 55931178
read 128 profiled data
